year,stock_code,company_name,industry,industry_code,revenue,receivables,gross_profit,operating_income,total_assets,current_assets,ppe,total_liabilities,net_income,operating_cash_flow,matched_accounts,missing_optional_accounts
2023,000440,중앙에너비스,Wholesale/Retail,46712.0,55473865404.0,1129996302.0,10348249207.0,-739276625.0,61533132670.0,14089537829.0,32668525298.0,4503843144.0,-251207664.0,2014862955.0,,
2024,000440,중앙에너비스,Wholesale/Retail,46712.0,49810930913.0,1094238874.0,8945123325.0,-1746232659.0,58475728545.0,10755896807.0,31749154470.0,3915805410.0,-943603348.0,-520923578.0,,
2019,000480,시알홀딩스,Manufacturing,2321.0,757153217374.0,110612982376.0,105088208934.0,21328774779.0,1069059371954.0,365763789786.0,370199560261.0,365726925104.0,32214373350.0,80043080919.0,,
2020,000480,시알홀딩스,Manufacturing,2321.0,705226744013.0,96023277387.0,101086051507.0,22921569157.0,1246277915624.0,450746862403.0,362853912756.0,513632071586.0,39702328575.0,94056795595.0,,
2021,000480,시알홀딩스,Manufacturing,2321.0,746291404630.0,108257701213.0,115244026621.0,33138447600.0,1349335977271.0,415565058720.0,420831581817.0,560656513213.0,33396172674.0,54726492617.0,,
2022,000480,시알홀딩스,Manufacturing,2321.0,798039613255.0,117021805170.0,119657156324.0,22597868685.0,1620442052683.0,460349348857.0,367059923310.0,793378121821.0,49575574685.0,9061843008.0,,
2023,000480,시알홀딩스,Manufacturing,2321.0,816904445534.0,137523127232.0,143704490204.0,39415273348.0,1621801858956.0,431029759217.0,382958819076.0,795117752139.0,26857674151.0,28186392142.0,,
2024,000480,시알홀딩스,Manufacturing,2321.0,810831515000.0,98155509000.0,120321117000.0,17438364000.0,1697695581000.0,509568451000.0,386723836000.0,835588274000.0,2470935000.0,81073437000.0,,
2019,000490,대동,Manufacturing,29210.0,832931372725.0,210532814371.0,194780937905.0,24519412614.0,816997551816.0,463844519737.0,299179152189.0,596185581952.0,3001676344.0,72909688564.0,,
2020,000490,대동,Manufacturing,29210.0,895751424440.0,162976863863.0,178557931498.0,33135607128.0,938726122031.0,466433636923.0,421699114461.0,610427548427.0,21001956079.0,70863448418.0,,
2021,000490,대동,Manufacturing,29210.0,1179193321819.0,241922592480.0,216387049903.0,38206130770.0,1260639075992.0,688216247809.0,527500111346.0,874734548516.0,34671963023.0,-5872607277.0,,
2022,000490,대동,Manufacturing,29210.0,1463737929724.0,369945563394.0,313711362480.0,88279120517.0,1713773205581.0,1048975028464.0,605235340510.0,1241782449283.0,38470968608.0,-80971466184.0,,
2023,000490,대동,Manufacturing,29210.0,1433390777280.0,438799214481.0,312235648563.0,65403445106.0,1956376110942.0,1174544147465.0,690126346336.0,1379316412077.0,11919509695.0,-181478143844.0,,
2024,000490,대동,Manufacturing,29210.0,1415582422216.0,299350610906.0,308487310286.0,18456574878.0,2132627316122.0,1133886383951.0,844582645802.0,1531411970874.0,-45134481978.0,255472661060.0,,
2019,000500,가온전선,Manufacturing,28302.0,830264391828.0,181961496289.0,39035657657.0,7118670092.0,512573535099.0,264775008475.0,213176791295.0,255845320372.0,5462904198.0,-10480082842.0,,
2020,000500,가온전선,Manufacturing,28302.0,857415249064.0,167931604423.0,47965060294.0,12650885274.0,542461377882.0,285786918608.0,223241034940.0,278899162200.0,9505568262.0,10024913810.0,,
2021,000500,가온전선,Manufacturing,28302.0,1070383204799.0,229277143312.0,61774237333.0,16571777888.0,658966428816.0,401943906435.0,232885163948.0,390851138494.0,5854428912.0,-11282515897.0,,
2022,000500,가온전선,Manufacturing,28302.0,1416454404337.0,252797446736.0,88533597866.0,28462568691.0,752332445010.0,491767369545.0,235335436372.0,449261889191.0,10463889335.0,25464636189.0,,
2023,000500,가온전선,Manufacturing,28302.0,1498606544413.0,288289346840.0,112689530919.0,43720038993.0,801805532215.0,545333236859.0,239530220924.0,470794089215.0,17898342263.0,19382899758.0,,
2024,000500,가온전선,Manufacturing,28302.0,1727103680000.0,352564203000.0,116630037000.0,45011778000.0,1042884426000.0,654804752000.0,308620510000.0,589179383000.0,25355195000.0,39267666000.0,,
2019,000520,삼일제약,Manufacturing,212.0,121107085914.0,26271869899.0,46724195786.0,4822839404.0,183874717250.0,79199814051.0,71315432851.0,121602281627.0,786258293.0,10590303278.0,,
2020,000520,삼일제약,Manufacturing,212.0,122998992149.0,30195038591.0,49032228673.0,6538397865.0,191660926981.0,72523350170.0,64182070213.0,128109718231.0,1340563617.0,7774731587.0,,
2021,000520,삼일제약,Manufacturing,212.0,134246777887.0,31132641787.0,48988243147.0,399740768.0,226404983052.0,76710526474.0,97727448493.0,160658490541.0,-5346662644.0,1416861154.0,,
2022,000520,삼일제약,Manufacturing,212.0,179676108240.0,34304444492.0,67485519616.0,4016581828.0,356700496639.0,74781467488.0,226756748526.0,230880901101.0,-28287010.0,4153916607.0,,
2023,000520,삼일제약,Manufacturing,212.0,196345807846.0,35900058638.0,74070794582.0,6471027760.0,370680097036.0,81115093239.0,235596168542.0,242852725250.0,1663539539.0,11745556185.0,,
2024,000520,삼일제약,Manufacturing,212.0,219699586442.0,35779453236.0,80914184533.0,113040731.0,395071163939.0,91345650494.0,245745777288.0,218947290895.0,-5628801989.0,2589901685.0,,
2019,000650,천일고속,Transportation,49220.0,59633084814.0,10456182669.0,8208597341.0,560732152.0,80044782325.0,12149418373.0,19184423110.0,29041015484.0,722508645.0,6039371256.0,,
2020,000650,천일고속,Transportation,49220.0,31159428124.0,1324304008.0,-3716177940.0,-9995625509.0,67019917354.0,15501576905.0,17961417170.0,29080896014.0,-6763102036.0,2425678479.0,,
